Iteration,Discriminator Loss,Generator Loss
0,1.806827,1.835836
10,1.387784,0.696669
20,1.386263,0.693360
30,1.386288,0.693103
40,1.386297,0.693158
50,1.386294,0.693302
60,1.386301,0.693399
70,1.386300,0.693360
80,1.386283,0.693468
90,1.386291,0.693428
100,1.386304,0.692945
