Iteration,Discriminator Loss,Generator Loss
0,1.219093,0.629190
10,1.249539,0.881213
20,1.191928,1.254334
30,1.233679,1.399480
40,1.270167,0.821517
50,1.176044,0.999035
60,1.037432,0.887218
70,1.125192,1.539312
80,1.154656,1.703971
90,1.205327,1.745923
100,1.157186,1.901296
