Iteration,Discriminator Loss,Generator Loss
0,2.423320,1.632055
10,1.386484,0.692117
20,1.386293,0.692903
30,1.386295,0.692815
40,1.386294,0.692891
50,1.386294,0.692908
60,1.386294,0.692885
70,1.386295,0.692906
80,1.386294,0.692905
90,1.386294,0.692914
100,1.386294,0.692902
